square_feet,spray_count,mp_count,drip_count,rotor_count,valve_count,value_mill,est_irrig_value,region,building_type,mix_manufacturers,general_contractor
84834.31,7.1512203,6.0250134,2.691087,4.837349,20.652678,13.965122,6172.8594,Northern California ,school,True,Nix Construction
84658.33,7.134924,5.9917603,2.6890116,4.8124576,20.624117,13.957019,6166.239,Southwest,school,True,Nix Construction
84772.79,7.1440687,6.017992,2.690038,4.8199606,20.643986,13.961952,6175.4087,Northeast,school,True,Nix Construction
85068.97,7.180144,6.067038,2.6947327,4.859759,20.694084,13.985325,6188.8916,Southeast,school,True,Nix Construction
84848.65,7.1564617,6.025939,2.6914973,4.8328013,20.664118,13.964555,6177.4272,Northern California ,school,True,Nix Construction
86534.02,7.254945,6.247393,2.7120502,4.9470963,20.867434,14.052464,6213.9756,Southwest,school,True,Nix Construction
84764.29,7.1469746,6.019456,2.69085,4.82561,20.64745,13.961075,6170.0986,Northeast,school,True,Nix Construction
84847.27,7.148023,6.03582,2.6913016,4.8228097,20.64594,13.966575,6172.74,Southern California,school,True,Nix Construction
85199.44,7.1762557,6.0820127,2.694882,4.855947,20.68969,13.987223,6191.6484,Northeast,school,True,Nix Construction
85027.555,7.1673355,6.050637,2.6940157,4.8387103,20.693108,13.968747,6188.504,Northern California ,school,True,Nix Construction
84701.91,7.1420135,5.997971,2.6894705,4.819373,20.632658,13.958613,6167.6426,Southern California,school,True,Nix Construction
84828.5,7.15274,6.036187,2.6918273,4.831559,20.66088,13.962245,6175.3086,Central States,school,True,Nix Construction
85269.836,7.2160707,6.087074,2.6986659,4.8626776,20.721664,13.998218,6196.678,Central States,school,True,Nix Construction
86630.445,7.270779,6.2498093,2.7189467,4.9643884,20.898071,14.10008,6267.9478,Northeast,school,True,Nix Construction
85007.87,7.1646495,6.0549517,2.6947176,4.8560786,20.6885,13.976368,6189.229,Northeast,school,True,Nix Construction
84677.01,7.13559,5.992433,2.6890779,4.813757,20.627136,13.957221,6167.1665,Northern California ,school,True,Nix Construction
84869.086,7.1539392,6.0323606,2.6929138,4.829612,20.664461,13.966619,6181.5767,Southern California,school,True,Nix Construction
84674.78,7.136062,5.9920373,2.6890914,4.8144417,20.62671,13.9573555,6165.8286,Southern California,school,True,Nix Construction
84822.33,7.1596975,6.0366797,2.692542,4.836885,20.65301,13.968104,6179.8013,Central States,school,True,Nix Construction
85033.7,7.170402,6.064229,2.6933842,4.8538275,20.67477,13.976386,6185.1816,Southwest,school,True,Nix Construction
85317.02,7.216056,6.139421,2.702454,4.8802276,20.733059,14.011297,6215.114,Southeast,school,True,Nix Construction
84699.67,7.1418285,5.998985,2.6894927,4.8187637,20.63725,13.958311,6168.1323,Central States,school,True,Nix Construction
84976.55,7.164623,6.046798,2.6932545,4.8369946,20.681948,13.973262,6192.5664,Southwest,school,True,Nix Construction
84894.45,7.1807213,6.0443254,2.6935446,4.8446193,20.674534,13.972299,6176.3086,Southern California,school,True,Nix Construction
85023.305,7.182135,6.0735035,2.694228,4.848372,20.712952,13.974849,6186.769,Northeast,school,True,Nix Construction
84767.734,7.1513004,6.021869,2.6908607,4.8242207,20.64756,13.963791,6171.345,Southern California,school,True,Nix Construction
84811.34,7.1482987,6.011304,2.6908627,4.830768,20.643484,13.964496,6171.0425,Northern California ,school,True,Nix Construction
85254.58,7.1841354,6.0953927,2.6962175,4.860017,20.706636,13.989887,6186.25,Northeast,school,True,Nix Construction
84913.32,7.1594806,6.0436835,2.6924253,4.835741,20.668583,13.970257,6174.4136,Southwest,school,True,Nix Construction
85824.99,7.260322,6.2068777,2.7129989,4.9405994,20.801933,14.027866,6207.808,Southeast,school,True,Nix Construction
84700.72,7.1389027,5.997038,2.6892295,4.818377,20.631891,13.95799,6167.7383,Central States,school,True,Nix Construction
85306.2,7.213465,6.1078687,2.6990318,4.8624587,20.702892,14.000367,6202.088,Northwest,school,True,Nix Construction
84828.56,7.149942,6.024596,2.6907496,4.8261123,20.64478,13.966296,6181.1606,Southwest,school,True,Nix Construction
84690.664,7.1442585,6.0076213,2.6898286,4.821151,20.640211,13.9587,6168.83,Northern California ,school,True,Nix Construction
84680.29,7.1382318,5.9945903,2.689296,4.8153768,20.62906,13.957852,6167.3623,Central States,school,True,Nix Construction
85011.805,7.1826916,6.060656,2.6939588,4.851788,20.686092,13.978046,6186.658,Southeast,school,True,Nix Construction
84741.375,7.1477947,6.0125384,2.690307,4.825334,20.642223,13.961691,6170.997,Southern California,school,True,Nix Construction
85082.04,7.188303,6.083374,2.6971562,4.85544,20.705112,13.982045,6178.7666,Southern California,school,True,Nix Construction
85268.53,7.201499,6.10928,2.6960647,4.8680367,20.724295,13.995115,6186.5967,Southern California,school,True,Nix Construction
84688.5,7.137679,5.998178,2.6891637,4.8149285,20.630068,13.9577,6169.0205,Northern California ,school,True,Nix Construction
84866.13,7.15144,6.0383115,2.6919417,4.835519,20.653233,13.966184,6172.6377,Northeast,school,True,Nix Construction
84880.77,7.1695523,6.0272126,2.691909,4.83447,20.665947,13.968047,6174.296,Central States,school,True,Nix Construction
84687.53,7.138529,5.99869,2.6894283,4.815805,20.629747,13.958109,6166.1562,Southern California,school,True,Nix Construction
84863.35,7.165736,6.0419044,2.6909099,4.8276563,20.657894,13.9692545,6183.4478,Central States,school,True,Nix Construction
84663.88,7.136084,5.9930534,2.689207,4.813732,20.626503,13.957088,6166.19,Southern California,school,True,Nix Construction
84694.83,7.1404066,6.002927,2.6897035,4.819074,20.632664,13.958966,6168.337,Northeast,school,True,Nix Construction
85664.95,7.2213554,6.174701,2.7093804,4.9068847,20.760715,14.018686,6206.4575,Northeast,school,True,Nix Construction
85682.055,7.203469,6.105226,2.69856,4.893127,20.761839,14.002944,6202.655,Northern California ,school,True,Nix Construction
84790.91,7.1454024,6.0185313,2.69032,4.8237505,20.64194,13.961726,6172.9526,Northeast,school,True,Nix Construction
85129.92,7.18969,6.092225,2.6970341,4.866385,20.705776,13.990999,6203.4316,Southern California,school,True,Nix Construction
84697.65,7.1394825,6.003314,2.6895864,4.819944,20.63211,13.958683,6167.4604,Southern California,school,True,Nix Construction
84689.09,7.138159,5.994118,2.6891983,4.8161654,20.628828,13.958084,6166.654,Northern California ,school,True,Nix Construction
84827.85,7.159728,6.0266876,2.6912534,4.830262,20.65802,13.9655075,6170.046,Southern California,school,True,Nix Construction
84693.77,7.1405597,6.000512,2.689442,4.8179936,20.631882,13.959052,6167.321,Southern California,school,True,Nix Construction
84764.43,7.1460433,6.014328,2.6905375,4.823928,20.64385,13.961853,6175.209,Northeast,school,True,Nix Construction
85905.74,7.228821,6.198733,2.708092,4.9222608,20.785616,14.0352335,6208.362,Southwest,school,True,Nix Construction
84765.4,7.144799,6.0161304,2.6901965,4.8218374,20.643414,13.962671,6171.732,Southwest,school,True,Nix Construction
84763.32,7.145604,6.003485,2.6898448,4.823991,20.638042,13.961158,6170.552,Southern California,park,True,Nix Construction
84950.484,7.1586037,6.039682,2.692507,4.8320045,20.670721,13.970904,6180.0767,Southwest,school,True,Nix Construction
85009.484,7.1765447,6.061422,2.6939125,4.844947,20.691538,13.977353,6183.429,Northern California ,school,True,Nix Construction
84750.68,7.1445603,6.003908,2.6898205,4.821478,20.638584,13.960493,6170.375,Southwest,school,True,Nix Construction
84732.13,7.1459947,6.010957,2.6902814,4.8272457,20.641714,13.961535,6170.9995,Southeast,school,True,Nix Construction
84673.32,7.138301,5.996246,2.6891322,4.814247,20.627506,13.957388,6166.19,Central States,school,True,Nix Construction
84934.58,7.164282,6.0300813,2.6916878,4.829474,20.654716,13.9721775,6172.2285,Southwest,school,True,Nix Construction
84821.875,7.154091,6.0317755,2.6911626,4.8382845,20.66158,13.966242,6179.577,Southwest,school,True,Nix Construction
84701.08,7.1409683,6.002139,2.6894405,4.8190994,20.63314,13.958918,6169.081,Central States,school,True,Nix Construction
84879.53,7.1596627,6.036578,2.6927989,4.836905,20.664242,13.9674835,6176.625,Northern California ,school,True,Nix Construction
84738.17,7.1477294,6.011305,2.6903126,4.821033,20.646536,13.960867,6172.442,Northern California ,school,True,Nix Construction
84664.97,7.1355443,5.9922614,2.6890178,4.8145094,20.627096,13.95713,6165.8467,Southwest,school,True,Nix Construction
84870.37,7.1621757,6.02852,2.6908512,4.8297668,20.65858,13.967666,6176.156,Northeast,school,True,Nix Construction
85646.75,7.223398,6.134841,2.701217,4.889691,20.767487,14.02819,6212.6133,Northern California ,school,True,Nix Construction
84969.664,7.1558642,6.050795,2.6927416,4.843542,20.666857,13.969605,6179.98,Southern California,school,True,Nix Construction
84915.92,7.18294,6.0749707,2.6964378,4.8416114,20.697699,13.972734,6179.4116,Northern California ,school,True,Nix Construction
85068.26,7.1742506,6.090607,2.6936896,4.832015,20.66349,13.980186,6184.7065,Northwest,school,True,Nix Construction
84723.055,7.1448536,6.01199,2.6908104,4.824338,20.645737,13.960869,6171.852,Northern California ,school,True,Nix Construction
84728.39,7.142973,6.004474,2.6898906,4.822124,20.638618,13.960604,6172.4746,Great Lakes,school,True,Nix Construction
85147.97,7.1955824,6.06784,2.694013,4.8504868,20.701118,13.982144,6190.486,Southern California,school,True,Nix Construction
85079.27,7.184137,6.0618773,2.695459,4.864829,20.696781,13.982467,6181.467,Southwest,school,True,Nix Construction
85385.78,7.2193513,6.0929832,2.698122,4.8693013,20.740253,13.995874,6192.758,Central States,school,True,Nix Construction
84703.05,7.143352,6.0047307,2.689853,4.818028,20.63527,13.959307,6166.7393,Southern California,school,True,Nix Construction
84687.88,7.138016,5.995545,2.68916,4.8140225,20.629503,13.957846,6166.0137,Southwest,school,True,Nix Construction
84840.99,7.1517887,6.0224895,2.691124,4.8289638,20.658175,13.963682,6177.3887,Northeast,school,True,Nix Construction
84791.6,7.148031,6.0183396,2.6902156,4.8236213,20.651772,13.962359,6175.8477,Northern California ,school,True,Nix Construction
84707.016,7.1407285,6.00617,2.6895049,4.8164067,20.634605,13.95902,6170.5786,Southwest,school,True,Nix Construction
84763.484,7.1415634,6.001022,2.6897447,4.822668,20.63825,13.960788,6170.333,Great Lakes,school,True,Nix Construction
84726.8,7.142005,6.00654,2.6896496,4.821276,20.636698,13.95956,6170.764,Northern California ,school,True,Nix Construction
85281.99,7.1824303,6.067154,2.696946,4.8633795,20.708748,13.98397,6199.7705,Northeast,school,True,Nix Construction
84798.984,7.1514077,6.0152984,2.690283,4.826573,20.652225,13.963959,6173.6265,Northern California ,school,True,Nix Construction
84662.99,7.136302,5.993543,2.6890793,4.813311,20.626188,13.957276,6166.753,Southern California,school,True,Nix Construction
84673.72,7.13641,5.9924483,2.6890411,4.8144464,20.625662,13.957416,6166.5684,Southern California,school,True,Nix Construction
84702.77,7.138649,6.0029016,2.689357,4.815023,20.630772,13.958169,6168.0913,Northeast,school,True,Nix Construction
84732.055,7.1405334,6.0015764,2.6896846,4.8167233,20.63451,13.9593,6170.5186,Northeast,school,True,Nix Construction
84800.55,7.1501546,6.0294075,2.6904292,4.8276834,20.647692,13.966439,6173.945,Northern California ,school,True,Nix Construction
84858.375,7.1468463,6.0348907,2.6909046,4.824621,20.64795,13.964407,6175.36,Southwest,school,True,Nix Construction
86921.0,7.268361,6.2745686,2.7171786,4.993544,20.891315,14.060572,6231.4595,Southwest,school,True,Nix Construction
84783.484,7.147875,6.0106764,2.6902874,4.8217382,20.641403,13.960922,6171.3804,Northern California ,school,True,Nix Construction
84688.3,7.1402597,5.9993763,2.6897902,4.8166037,20.629187,13.958368,6168.8584,Northeast,school,True,Nix Construction
84765.57,7.151169,6.024913,2.6908233,4.8290043,20.651161,13.964604,6175.97,Southwest,school,True,Nix Construction
85455.25,7.224035,6.1656055,2.7013836,4.8751545,20.729202,14.009944,6188.6416,Southern California,school,True,Nix Construction
84702.805,7.144867,6.000234,2.6894171,4.815702,20.632515,13.959113,6167.1587,Southern California,school,True,Nix Construction
84771.664,7.156499,6.0264173,2.6907482,4.8287663,20.658434,13.963447,6174.4077,Northern California ,school,True,Nix Construction
85099.85,7.175324,6.089771,2.6971345,4.854931,20.700937,13.981227,6194.2114,Northeast,school,True,Nix Construction
84717.68,7.1408257,6.0043674,2.6897225,4.8197756,20.638937,13.960262,6170.2095,Northern California ,school,True,Nix Construction
84676.74,7.1388555,5.9954133,2.6892009,4.8154154,20.628302,13.957937,6166.148,Southern California,school,True,Nix Construction
85091.375,7.185315,6.10715,2.6975727,4.869105,20.717592,13.976694,6188.8667,Southern California,school,True,Nix Construction
84701.79,7.140881,6.0081267,2.6901555,4.8189445,20.637844,13.958404,6169.3687,Northeast,school,True,Nix Construction
84677.836,7.1375737,5.9969063,2.6892617,4.815089,20.627798,13.958397,6167.0757,Southern California,school,True,Nix Construction
84899.03,7.1747546,6.0348573,2.6925962,4.846672,20.67513,13.966844,6178.686,Southeast,school,True,Nix Construction
85439.43,7.2093654,6.1751795,2.700428,4.8787785,20.727516,14.008533,6209.545,Central States,school,True,Nix Construction
85131.836,7.1743727,6.071079,2.6952558,4.8424253,20.69372,13.9799385,6208.307,Southeast,school,True,Nix Construction
84817.68,7.151537,6.0158815,2.6901803,4.824888,20.649706,13.964399,6171.7583,Southwest,school,True,Nix Construction
85348.0,7.1845126,6.0810776,2.6944864,4.8738933,20.699516,13.985678,6192.686,Northeast,school,True,Nix Construction
84834.03,7.1547866,6.0355597,2.6912255,4.8293867,20.6578,13.966416,6173.7134,Southwest,school,True,Nix Construction
85066.26,7.1921983,6.0651703,2.6954634,4.853845,20.683348,13.981049,6187.281,Northeast,school,True,Nix Construction
84779.58,7.151657,6.014051,2.6905236,4.82894,20.649097,13.962358,6173.6694,Great Lakes,school,True,Nix Construction
84709.93,7.139372,5.99958,2.6893744,4.817453,20.630678,13.958961,6168.413,Great Lakes,school,True,Nix Construction
84662.44,7.135554,5.9938645,2.6890597,4.813643,20.625473,13.957069,6165.7026,Southern California,school,True,Nix Construction
85015.125,7.1673145,6.042275,2.6924129,4.8563914,20.676632,13.981793,6183.471,Northern California ,school,True,Nix Construction
84728.15,7.146444,6.007311,2.689546,4.820716,20.635788,13.96016,6170.291,Central States,school,True,Nix Construction
84804.04,7.152786,6.0270176,2.6906333,4.8301673,20.64346,13.96614,6171.3125,Northern California ,school,True,Nix Construction
84925.4,7.1593537,6.0588613,2.6938014,4.828376,20.673357,13.971663,6190.6006,Northeast,school,True,Nix Construction
84710.54,7.1393733,6.000733,2.6897423,4.8190527,20.635021,13.958436,6167.2896,Southwest,school,True,Nix Construction
85061.55,7.1715093,6.056078,2.6943026,4.8444123,20.68531,13.97396,6185.9414,Great Lakes,school,True,Nix Construction
84825.95,7.1609077,6.016457,2.6909013,4.8312283,20.661259,13.967123,6172.526,Northern California ,school,True,Nix Construction
85043.72,7.1763453,6.084066,2.6941028,4.851569,20.702995,13.982759,6183.8735,Northern California ,school,True,Nix Construction
84904.375,7.171124,6.061312,2.6943266,4.8400493,20.676067,13.9730625,6181.674,Southwest,school,True,Nix Construction
84764.695,7.1443553,6.0149655,2.6907518,4.8219075,20.64192,13.961013,6170.861,Southwest,school,True,Nix Construction
84814.18,7.1531034,6.020333,2.6909444,4.8308907,20.655197,13.9634,6174.2397,Southwest,school,True,Nix Construction
84723.58,7.1394186,6.001872,2.6896987,4.820567,20.633894,13.959109,6167.7876,Northeast,school,True,Nix Construction
84897.57,7.1663585,6.0353303,2.6911829,4.8326488,20.655977,13.971531,6175.807,Southwest,school,True,Nix Construction
86382.92,7.2850122,6.286656,2.717453,4.9283705,20.856943,14.059984,6246.5264,Southern California,school,True,Nix Construction
84722.25,7.141654,6.015455,2.6896079,4.8168583,20.636269,13.959934,6167.4595,Southern California,school,True,Nix Construction
84891.38,7.160276,6.0432496,2.6929865,4.835941,20.677105,13.970076,6183.863,Northeast,school,True,Nix Construction
84685.32,7.1376657,5.996394,2.6891267,4.8152714,20.629837,13.958108,6166.8413,Northern California ,school,True,Nix Construction
84669.38,7.135259,5.9932513,2.689066,4.812824,20.625504,13.95727,6168.226,Northeast,school,True,Nix Construction
85018.695,7.175445,6.069573,2.694829,4.865484,20.703033,13.980303,6190.813,Northeast,school,True,Nix Construction
84892.7,7.1545095,6.0224953,2.69047,4.8337383,20.654236,13.965769,6177.2256,Great Lakes,school,True,Nix Construction
84785.836,7.1503577,6.016347,2.6903481,4.829315,20.649782,13.962047,6172.104,Northern California ,school,True,Nix Construction
84810.54,7.149822,6.0254574,2.690509,4.828793,20.65361,13.961591,6174.2114,Southeast,school,True,Nix Construction
86002.25,7.250386,6.1294045,2.7085721,4.9197736,20.812065,14.026229,6208.2026,Northern California ,school,True,Nix Construction
85219.66,7.1836295,6.119494,2.6964107,4.8548303,20.690123,13.988326,6188.8047,Southwest,school,True,Nix Construction
84935.32,7.16572,6.0509033,2.6954572,4.849776,20.670717,13.97265,6182.5903,Northeast,school,True,Nix Construction
84701.125,7.1416774,6.0044894,2.6900005,4.821267,20.63809,13.958942,6168.9507,Southern California,school,True,Nix Construction
84683.28,7.140028,6.0024233,2.6896,4.818382,20.630438,13.958305,6168.1455,Southern California,school,True,Nix Construction
84743.125,7.14673,6.006761,2.6900182,4.8274703,20.644554,13.960054,6169.81,Southern California,school,True,Nix Construction
84730.34,7.148329,6.019195,2.690514,4.824082,20.644674,13.961479,6170.9404,Southern California,school,True,Nix Construction
84800.88,7.155873,6.021156,2.6912448,4.8330574,20.659348,13.963474,6171.9883,Southern California,school,True,Nix Construction
84695.15,7.13996,6.0005774,2.689772,4.8182855,20.63506,13.958359,6169.011,Northeast,school,True,Nix Construction
85403.22,7.193752,6.073915,2.696587,4.876409,20.736206,13.978416,6189.9214,Southern California,school,True,Nix Construction
85804.51,7.2197285,6.1442857,2.704126,4.9244366,20.786009,14.002073,6203.4067,Central States,school,True,Nix Construction
84703.14,7.1402555,6.0039697,2.6898677,4.8184237,20.634182,13.958916,6168.15,Northeast,school,True,Nix Construction
84744.79,7.1490035,6.010884,2.6902668,4.8258905,20.640303,13.960162,6171.5947,Central States,school,True,Nix Construction
84901.98,7.1656475,6.061122,2.694332,4.849858,20.67673,13.977727,6183.6543,Northern California ,school,True,Nix Construction
84779.99,7.156172,6.027428,2.6915317,4.83103,20.654943,13.963276,6174.9346,Central States,school,True,Nix Construction
85087.11,7.1738997,6.0696197,2.694369,4.840709,20.694664,13.975582,6181.3525,Northern California ,school,True,Nix Construction
85806.22,7.2349324,6.2276053,2.7135887,4.9324646,20.8411,14.035799,6226.524,Northern California ,school,True,Nix Construction
84761.64,7.144693,6.008486,2.6903875,4.824582,20.644863,13.9611,6174.004,Central States,school,True,Nix Construction
84973.9,7.1590743,6.046197,2.6910603,4.837394,20.667305,13.971874,6179.174,Southwest,school,True,Nix Construction
84883.414,7.1644163,6.033452,2.6914358,4.838764,20.654263,13.970913,6177.246,Northern California ,school,True,Nix Construction
84858.91,7.154224,6.02306,2.6909237,4.829876,20.656002,13.967507,6176.59,Southeast,school,True,Nix Construction
85007.03,7.159458,6.04421,2.6931052,4.841081,20.67497,13.970138,6181.797,Southwest,school,True,Nix Construction
85115.24,7.188055,6.039189,2.6926258,4.860282,20.695133,13.971449,6177.975,Southern California,school,True,Nix Construction
85034.21,7.1767654,6.0655446,2.6949544,4.845608,20.685755,13.982806,6178.335,Northeast,school,True,Nix Construction
84999.33,7.180384,6.086238,2.6964,4.85237,20.696556,13.98314,6189.0283,Southwest,school,True,Nix Construction
84841.95,7.147937,6.019587,2.6914718,4.8214245,20.647717,13.963313,6177.519,Southwest,school,True,Nix Construction
84741.516,7.1439095,6.009771,2.6895714,4.8194723,20.634863,13.960806,6171.322,Southeast,school,True,Nix Construction
84675.24,7.1375136,5.9960604,2.6891308,4.8151236,20.62967,13.957601,6168.491,Central States,school,True,Nix Construction
86383.484,7.251575,6.273213,2.7161086,4.929347,20.846733,14.062932,6233.98,Southern California,school,True,Nix Construction
84828.64,7.153689,6.0162635,2.69084,4.832699,20.646378,13.964125,6172.954,Southern California,school,True,Nix Construction
84757.04,7.1438155,6.0089006,2.6902227,4.82151,20.641338,13.961969,6176.3,Southwest,school,True,Nix Construction
85303.83,7.1871457,6.0800977,2.6964307,4.8870287,20.718367,13.998049,6192.17,Southern California,school,True,Nix Construction
84743.9,7.1411524,6.001634,2.6894639,4.821833,20.633055,13.960233,6168.465,Northeast,school,True,Nix Construction
84924.625,7.1687436,6.042581,2.6913376,4.836555,20.66815,13.972385,6172.6226,Southwest,school,True,Nix Construction
85237.73,7.198019,6.106332,2.7006292,4.8682456,20.73823,13.993421,6198.3984,Southeast,school,True,Nix Construction
84700.016,7.1391892,6.0032763,2.6894286,4.81648,20.635843,13.95832,6168.643,Southeast,school,True,Nix Construction
85558.63,7.2124777,6.1538153,2.706371,4.8870945,20.765745,14.021492,6224.9307,Southwest,school,True,Nix Construction
84811.03,7.1509967,6.0142074,2.6911647,4.826538,20.64966,13.962819,6176.0845,Northeast,school,True,Nix Construction
84689.19,7.138973,5.996033,2.6892107,4.816171,20.631874,13.957962,6168.175,Southeast,school,True,Nix Construction
84840.81,7.151172,6.022769,2.6914983,4.832864,20.658068,13.965177,6173.52,Southwest,school,True,Nix Construction
85624.09,7.244555,6.1637635,2.704289,4.9200754,20.818913,14.024689,6208.0503,Southern California,school,True,Nix Construction
85144.68,7.179667,6.101172,2.6971886,4.863586,20.708088,13.981374,6197.333,Northern California ,school,True,Nix Construction
84725.44,7.147418,6.015175,2.690576,4.8228145,20.64003,13.960706,6170.7817,Northern California ,school,True,Nix Construction
85004.54,7.1657376,6.088576,2.6946132,4.849881,20.696959,13.972745,6200.904,Southeast,school,True,Nix Construction
84845.13,7.1534486,6.0259986,2.691177,4.840946,20.657743,13.966802,6177.205,Southern California,school,True,Nix Construction
85102.086,7.18007,6.066556,2.695731,4.872352,20.70754,13.980325,6186.837,Southeast,school,True,Nix Construction
86689.125,7.254125,6.2125673,2.7136657,4.9678044,20.85256,14.053184,6231.1685,Northwest,school,True,Nix Construction
84748.64,7.1444197,6.0101757,2.690317,4.823358,20.63543,13.960336,6167.4087,Southwest,school,True,Nix Construction
85077.75,7.1646156,6.0647626,2.6932697,4.851442,20.661736,13.975811,6180.3438,Northeast,school,True,Nix Construction
85101.77,7.162035,6.0496397,2.693432,4.8583994,20.685575,13.974067,6183.668,Northeast,school,True,Nix Construction
84724.19,7.138088,6.0002666,2.6892164,4.8159513,20.633627,13.958239,6168.68,Southwest,school,True,Nix Construction
84659.55,7.135115,5.990967,2.6889493,4.8123846,20.624794,13.957012,6165.628,Northern California ,school,True,Nix Construction
84689.62,7.138926,5.998774,2.689271,4.8143663,20.628927,13.958246,6168.266,Central States,school,True,Nix Construction
84678.54,7.139309,5.9981093,2.6894395,4.8154306,20.630505,13.95843,6168.899,Southern California,school,True,Nix Construction
84972.36,7.161483,6.0713034,2.6927342,4.8507996,20.671959,13.969073,6179.342,Northeast,school,True,Nix Construction
84792.6,7.1434555,6.003948,2.6902986,4.821024,20.640457,13.960907,6170.5767,Southern California,school,True,Nix Construction
84687.65,7.1402407,6.0058284,2.6896098,4.816648,20.634844,13.957958,6170.1465,Southeast,school,True,Nix Construction
84760.586,7.1429853,6.009641,2.689805,4.8192873,20.64086,13.961871,6168.768,Southern California,school,True,Nix Construction
84725.49,7.1469183,6.0081844,2.6896358,4.8188534,20.635044,13.959692,6168.942,Southeast,school,True,Nix Construction
84794.96,7.1481442,6.0124226,2.6906166,4.828713,20.65054,13.963022,6171.6353,Southwest,school,True,Nix Construction
85236.98,7.1932006,6.068057,2.6957054,4.8602295,20.703014,13.9840975,6189.3394,Southern California,school,True,Nix Construction
84666.72,7.137446,5.9958124,2.6891077,4.815314,20.627724,13.957351,6166.635,Southern California,school,True,Nix Construction
85617.43,7.207584,6.1671343,2.7075753,4.9041915,20.77628,14.006506,6195.8765,Southern California,school,True,Nix Construction
84650.95,7.13349,5.989162,2.688894,4.811307,20.6224,13.956679,6165.094,Northeast,school,True,Nix Construction
84673.48,7.137848,5.9957466,2.689121,4.814529,20.628418,13.957619,6166.031,Southwest,school,True,Nix Construction
85089.35,7.1669726,6.063132,2.6941617,4.866294,20.684084,13.979335,6180.95,Southwest,school,True,Nix Construction
85672.336,7.229645,6.241203,2.7063117,4.8983207,20.768488,14.038776,6219.89,Northeast,school,True,Nix Construction
84945.56,7.160533,6.037077,2.6922972,4.8475676,20.670311,13.972699,6178.741,Southern California,school,True,Nix Construction
85750.41,7.261424,6.152892,2.7065349,4.9058585,20.771881,14.042099,6212.1543,Southeast,school,True,Nix Construction
85505.8,7.200064,6.083138,2.699808,4.889285,20.741808,13.989593,6201.725,Southeast,school,True,Nix Construction
84829.93,7.1523976,6.0293727,2.6906343,4.825716,20.646484,13.966333,6173.648,Northern California ,school,True,Nix Construction
84675.875,7.1382194,6.0007906,2.6895955,4.8173723,20.63149,13.957857,6167.272,Southeast,school,True,Nix Construction
85051.69,7.17155,6.0566792,2.6951919,4.8400383,20.698221,13.969445,6211.454,Northern California ,school,True,Nix Construction
84742.81,7.1507335,6.013119,2.6900854,4.822402,20.646759,13.962446,6170.42,Northern California ,school,True,Nix Construction
84820.89,7.153511,6.0414157,2.6912148,4.829662,20.657682,13.96689,6178.6,Southwest,school,True,Nix Construction
84841.06,7.1580024,6.0294175,2.6914816,4.838091,20.65514,13.965021,6175.136,Northeast,school,True,Nix Construction
85032.72,7.1701145,6.03234,2.6929576,4.8498764,20.695251,13.9725895,6181.899,Northeast,school,True,Nix Construction
85049.77,7.179937,6.080245,2.6951897,4.8501973,20.683088,13.982979,6186.786,Northeast,school,True,Nix Construction
85382.18,7.1946244,6.1082034,2.697262,4.8641133,20.707043,13.998875,6209.8057,Northwest,school,True,Nix Construction
